,Open,High,Low,Close,Volume
10/16/2020 0:00,44.55,45.04,37.51,39.39,282456.7
10/17/2020 0:00,39.415,43.329,38.46,41.393,385497.7
10/18/2020 0:00,41.379,41.4,39.455,40.795,370900.1
10/19/2020 0:00,40.746,41.009,35.828,36.075,398700.9
10/20/2020 0:00,36.083,36.474,31.889,32.135,640193.9
10/21/2020 0:00,32.095,37.099,31.716,35.107,542288.7
10/22/2020 0:00,35.087,39.748,33.509,37.948,614126.9
10/23/2020 0:00,37.892,42.698,37.043,41.428,797946
10/24/2020 0:00,41.441,42.389,38.618,39.397,617193.9
10/25/2020 0:00,39.42,40.953,37.243,37.866,592037.6
10/26/2020 0:00,37.859,39.212,35.018,35.958,524933.2
10/27/2020 0:00,35.96,39,34.356,34.933,603617.2
10/28/2020 0:00,34.924,35.811,31.963,32.43,568749.4
10/29/2020 0:00,32.451,33.263,28.101,29.236,686524.2
10/30/2020 0:00,29.222,31.99,27.73,31.055,809945.4
10/31/2020 0:00,31.06,32.9,29.524,29.696,584511.2
11/1/2020 0:00,29.691,30.99,28.47,30.727,440488.4
11/2/2020 0:00,30.732,34.175,29.117,29.672,1107448.8
11/3/2020 0:00,29.672,30.085,27.323,28.105,634308.2
11/4/2020 0:00,28.11,28.504,25.97,27.689,627055.8
11/5/2020 0:00,27.694,32.275,25.887,30.895,814585.5
11/6/2020 0:00,30.875,40.95,30.746,38.546,1813531.6
11/7/2020 0:00,38.554,52.18,38.327,44.476,2263347.2
11/8/2020 0:00,44.435,54.794,42.511,53.852,2223200.6
11/9/2020 0:00,53.86,59.08,49.303,55.204,2787646.4
11/10/2020 0:00,55.237,71,52.88,66.989,2987176.4
11/11/2020 0:00,66.942,69.1,53.458,54.523,2794269.3
11/12/2020 0:00,54.598,59.95,50.5,51.854,2076670.8
11/13/2020 0:00,51.936,66.333,51.176,63.551,2553132.5
11/14/2020 0:00,63.536,68.98,57.818,66.796,1702080.7
11/15/2020 0:00,66.849,71.25,59.35,64.244,1659104.6
11/16/2020 0:00,64.262,74.637,60.9,73.052,1697466
11/17/2020 0:00,73.045,80.32,68.75,79.463,1326453.1
11/18/2020 0:00,79.493,80.562,67.2,75.395,1381302.9
11/19/2020 0:00,75.398,81.739,70.32,76.429,1277425.2
11/20/2020 0:00,76.425,83.016,74.5,75.134,960583.7
11/21/2020 0:00,75.187,77.45,68.015,70.838,907105.2
11/22/2020 0:00,70.84,75.14,63,68.899,965137.5
11/23/2020 0:00,68.879,74.442,65.733,72.671,764335.7
11/24/2020 0:00,72.737,75.88,66.23,66.843,776510.8
11/25/2020 0:00,66.896,68.033,59.208,61.67,619501.1
11/26/2020 0:00,61.712,65.326,47.343,64.339,1906559.6
11/27/2020 0:00,64.393,69.31,56.153,60.843,830538.4
11/28/2020 0:00,60.897,66.406,58.786,63.795,407067.1
11/29/2020 0:00,63.827,69.9,61.646,68.978,471829.4
11/30/2020 0:00,68.991,80,68.984,76.146,1213232.6
12/1/2020 0:00,76.197,79.236,69,74.215,913118.6
12/2/2020 0:00,74.126,91.041,71.752,86.714,1193600.8
12/3/2020 0:00,86.674,94.49,83,91.64,1002878.7
12/4/2020 0:00,91.656,92.954,79.21,80.843,794550.2
12/5/2020 0:00,80.774,92.9,79.5,92.77,581951.5
12/6/2020 0:00,92.715,93.154,84.65,87.92,431619.5
12/7/2020 0:00,87.956,95.619,86.778,90.815,773110.6
12/8/2020 0:00,90.833,91.311,77.995,80.198,895814.4
12/9/2020 0:00,80.186,86.5,75.03,82.56,802766.7
12/10/2020 0:00,82.561,83.09,75.766,76.542,527906.1
12/11/2020 0:00,76.612,79,70.724,74.792,749903.5
12/12/2020 0:00,74.814,80.3,74.628,77.859,492617.8
12/13/2020 0:00,77.856,85,76.648,83.96,454933.9
12/14/2020 0:00,83.908,91.974,79.828,86.423,753021.6
12/15/2020 0:00,86.511,89.105,84.3,87.15,596280.8
12/16/2020 0:00,87.188,89.94,80.159,87.618,779265.5
12/17/2020 0:00,87.589,90.627,82.869,85.077,693440.8
12/18/2020 0:00,85.093,90.557,81.807,90.435,430320.3
12/19/2020 0:00,90.484,96.463,88.017,89.093,740578.4
12/20/2020 0:00,89.043,90.285,83.766,85.767,573747.9
12/21/2020 0:00,85.782,88.101,77.523,80.842,436955.5
12/22/2020 0:00,80.86,86.321,75.628,84.345,469667.7
12/23/2020 0:00,84.348,84.538,62.748,75.431,647771.9
12/24/2020 0:00,75.428,80.579,71.02,80.562,519317.6
12/25/2020 0:00,80.558,82,75.964,79.742,300530.6
12/26/2020 0:00,79.743,80.064,73.808,75.212,260191.6
12/27/2020 0:00,75.18,82.1,72.73,76.919,435249.2
12/28/2020 0:00,76.944,86.148,76.16,81.887,368776.9
12/29/2020 0:00,81.931,83.2,75.007,78.169,246245.7
12/30/2020 0:00,78.217,85.67,77.322,81.117,375468
12/31/2020 0:00,81.135,88.801,78.341,88.503,371053
1/1/2021 0:00,88.581,91,84.652,90.909,368132.6
1/2/2021 0:00,90.94,92.2,82.573,85.888,350675.1
1/3/2021 0:00,85.911,95.68,81.338,94.185,490412.4
1/4/2021 0:00,94.183,115.59,85.932,114.322,1108493.1
1/5/2021 0:00,114.344,124.279,98.653,119.8,843809.1
1/6/2021 0:00,119.866,121.023,107.856,115.719,485974.6
1/7/2021 0:00,115.816,131,107,115.235,726395.4
1/8/2021 0:00,115.339,120.04,100.24,110.686,523636.3
1/9/2021 0:00,110.795,119.548,106.062,117.674,346692.4
1/10/2021 0:00,117.802,137,111.072,126.987,684657.4
1/11/2021 0:00,126.98,127.609,94,114.329,901316.6
1/12/2021 0:00,114.368,136.146,109.109,127.74,639823.6
1/13/2021 0:00,127.747,147.989,120.128,146.778,703756.9
1/14/2021 0:00,146.781,154.911,139.321,147.766,388745.4
1/15/2021 0:00,147.935,168.685,139.9,166.525,516672.7
1/16/2021 0:00,166.534,203.94,166.368,181.145,759378.8
1/17/2021 0:00,181.324,199.322,174.475,186.482,502759.5
1/18/2021 0:00,186.591,201.313,180.52,200.944,360441.3
1/19/2021 0:00,200.934,210,184.845,186,507893.3
1/20/2021 0:00,186.093,200,171.71,197.316,506746.4
1/21/2021 0:00,197.368,199.894,155.27,160.343,784069.4
1/22/2021 0:00,160.169,199.278,147.608,189.581,498901.1
1/23/2021 0:00,189.649,220.423,185.568,213.996,432515.4
1/24/2021 0:00,213.697,289.434,212.514,264.705,941421.4
1/25/2021 0:00,264.752,283.229,237.001,247.947,693947.9
1/26/2021 0:00,247.821,288.145,240.691,277.765,744209.4
1/27/2021 0:00,277.821,299.423,255,286.32,943300.9
1/28/2021 0:00,286.32,310.057,274.97,298.549,582892.7
1/29/2021 0:00,298.3,308.971,271.901,288.649,499039.2
1/30/2021 0:00,288.355,323.798,282.559,315.496,458268.3
1/31/2021 0:00,315.445,320.596,293,300.369,284945.1
2/1/2021 0:00,300.021,307.127,284,295.759,332425.7
2/2/2021 0:00,295.422,310.38,286,303.288,360107.3
2/3/2021 0:00,303.339,388.514,301.492,384.168,624205.5
2/4/2021 0:00,384.209,522.9,383.998,466.853,2134631.9
2/5/2021 0:00,467.003,549.99,465.203,507.413,929623.6
