,Open,High,Low,Close,Volume 
8/22/2020 0:00,2.92,5.1,2.92,4.465,34281718.6
8/23/2020 0:00,4.482,4.5,3.706,3.993,23021804
8/24/2020 0:00,3.993,4.81,3.755,4.594,27131790.2
8/25/2020 0:00,4.585,5.776,4.492,5.56,54379664.2
8/26/2020 0:00,5.56,6.598,5.102,6.092,51031902.3
8/27/2020 0:00,6.092,6.828,5.23,5.668,75224186.8
8/28/2020 0:00,5.658,6.388,5.511,6.179,33421289.7
8/29/2020 0:00,6.186,6.571,6.018,6.144,24587097.5
8/30/2020 0:00,6.148,6.237,5.721,5.899,20792243.5
8/31/2020 0:00,5.898,6.479,5.762,6.275,22653228.3
9/1/2020 0:00,6.275,6.889,6.125,6.253,24095350.4
9/2/2020 0:00,6.254,6.46,5.51,6.136,27104128
9/3/2020 0:00,6.144,6.339,5.55,5.68,40503527.5
9/4/2020 0:00,5.68,5.995,4.467,5.105,46084440.4
9/5/2020 0:00,5.102,5.315,3.55,4.145,48012193.8
9/6/2020 0:00,4.145,4.946,3.726,4.789,33884882.7
9/7/2020 0:00,4.789,4.836,4.001,4.598,22395692.9
9/8/2020 0:00,4.598,4.632,4.108,4.274,15114305.5
9/9/2020 0:00,4.268,4.8,4.132,4.706,15706478.6
9/10/2020 0:00,4.707,4.9,4.442,4.577,14627909.7
9/11/2020 0:00,4.578,4.744,4.294,4.651,12384407.3
9/12/2020 0:00,4.65,5.304,4.499,5.143,23105202.5
9/13/2020 0:00,5.143,5.481,4.77,5.33,28970409.1
9/14/2020 0:00,5.33,5.584,5.089,5.365,21796482.8
9/15/2020 0:00,5.363,5.452,5.044,5.062,15695368.3
9/16/2020 0:00,5.061,5.291,4.969,5.082,12657543
9/17/2020 0:00,5.077,5.432,5.049,5.34,13989325.4
9/18/2020 0:00,5.338,5.465,5.091,5.268,11417450.6
9/19/2020 0:00,5.269,5.273,4.806,4.929,7722368.4
9/20/2020 0:00,4.926,4.974,4.376,4.661,13744406.2
9/21/2020 0:00,4.661,4.699,3.906,4.069,26452655.3
9/22/2020 0:00,4.069,4.21,3.9,4.164,13963592
9/23/2020 0:00,4.162,4.327,3.939,4.017,18670450.4
9/24/2020 0:00,4.017,4.469,3.96,4.38,16488091.9
9/25/2020 0:00,4.38,4.534,4.236,4.416,10448990.3
9/26/2020 0:00,4.417,4.485,4.224,4.331,6762111
9/27/2020 0:00,4.33,4.368,4.11,4.301,7868546.8
9/28/2020 0:00,4.3,4.596,4.203,4.456,16281359.8
9/29/2020 0:00,4.454,4.617,4.352,4.499,13468351.9
9/30/2020 0:00,4.499,4.505,4.237,4.35,8146297.3
10/1/2020 0:00,4.35,4.593,4.241,4.348,14286848.1
10/2/2020 0:00,4.346,4.366,3.848,4.125,12576507.8
10/3/2020 0:00,4.125,4.147,4.024,4.061,4591505
10/4/2020 0:00,4.061,4.198,4.006,4.178,5334150.7
10/5/2020 0:00,4.177,4.245,4.104,4.16,6958518.5
10/6/2020 0:00,4.159,4.179,3.592,3.743,17071553.3
10/7/2020 0:00,3.743,3.885,3.591,3.85,15267754
10/8/2020 0:00,3.849,4.16,3.621,4.117,18897243
10/9/2020 0:00,4.115,4.353,4.01,4.257,13744416
10/10/2020 0:00,4.254,4.49,4.223,4.262,11444963.4
10/11/2020 0:00,4.262,4.343,4.164,4.248,8330751.3
10/12/2020 0:00,4.248,4.455,4.178,4.311,14438897.4
